Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Num_Shares,Num_Trades,Total_Turnover,Deliverable_Quantity,DQ_TQ,Spread_HighLow,Spread_CloseOpen
19-Oct-23,663.4,672.05,658.7,668.45,665.8583965,385287,9707,256546584,76033,19.73,13.35,5.05
18-Oct-23,659.35,672,653.75,668.35,664.0166201,1237175,31722,821504762,562505,45.47,18.25,9
17-Oct-23,670.95,670.95,654.65,655.75,662.1748304,399267,12323,264384558,141919,35.54,16.3,-15.2
16-Oct-23,668.8,677.9,661.1,666.1,669.4110627,1353054,40343,905749316,446327,32.99,16.8,-2.7
13-Oct-23,634.95,669.1,633.05,667.15,657.1905359,970594,23722,637865191,320200,32.99,36.05,32.2
12-Oct-23,636.9,640.45,635.1,636.85,637.6005191,196495,5973,125285314,76417,38.89,5.35,-0.05
11-Oct-23,632.25,637.65,632.25,633.85,635.1488477,553727,15653,351699066,304786,55.04,5.4,1.6
10-Oct-23,620,632.5,618.2,630.6,628.8804849,1046738,23740,658273101,555675,53.09,14.3,10.6
09-Oct-23,621.45,622,613.8,617.4,617.8313162,226892,7868,140180983,77606,34.2,8.2,-4.05
06-Oct-23,628,628,620,622.1,622.6718241,413577,14364,257522745,165697,40.06,8,-5.9
05-Oct-23,619.45,621.4,614.5,619.55,617.8997774,302387,11650,186844860,117739,38.94,6.9,0.1
04-Oct-23,621.85,621.85,608.45,613.5,612.3283415,643257,15439,393884492,421140,65.47,13.4,-8.35
03-Oct-23,632.5,632.55,618.65,620.3,621.6065003,831383,26631,516793077,559221,67.26,13.9,-12.2
29-Sep-23,620.35,633.1,616.8,630.35,627.8493872,334281,9425,209878121,109193,32.66,16.3,10
28-Sep-23,623.8,623.8,612.45,613.95,617.5702257,535495,17023,330705768,301430,56.29,11.35,-9.85
27-Sep-23,620.4,621.95,616.7,620.4,618.4030613,435244,8372,269156222,291382,66.95,5.25,0
26-Sep-23,619.95,625.65,618,619.75,621.8282232,648097,9736,403005006,474167,73.16,7.65,-0.2
25-Sep-23,622.7,625,617.8,618.6,620.0514918,872217,20297,540819452,585845,67.17,7.2,-4.1
22-Sep-23,627.35,631.75,619,621.1,624.9548897,448855,7811,280514127,258582,57.61,12.75,-6.25
21-Sep-23,638.3,641.8,624.2,626.9,631.1165355,347156,8593,219095892,117892,33.96,17.6,-11.4
20-Sep-23,640.25,647,637.05,638.3,642.6475068,559937,10120,359842117,255503,45.63,9.95,-1.95
18-Sep-23,635.05,644.1,633.1,640.6,640.146865,429830,8851,275154327,106730,24.83,11,5.55
15-Sep-23,628.9,636.45,627.4,634.15,633.0954567,629479,10389,398520295,132213,21,9.05,5.25
14-Sep-23,628.95,630.75,623.15,624.35,627.1243714,423345,13012,265489967,164748,38.92,7.6,-4.6
13-Sep-23,620.8,628.45,619.2,625.95,625.1134979,587632,15385,367336695,247864,42.18,9.25,5.15
12-Sep-23,639.75,639.75,615.6,620.8,624.071314,505118,10086,315229654,155251,30.74,24.15,-18.95
11-Sep-23,632.55,635.55,630.5,634.7,633.5444732,398510,9179,252473808,157780,39.59,5.05,2.15
08-Sep-23,616.35,628.9,614.15,627.15,623.8767582,634517,13503,395860409,189902,29.93,14.75,10.8
